Train No.,99001,99003,99401,99201,99403,99405,99005,99203,99407,99205,99409,99007,99411,99207,99413,99209,99415,99009,99417
TNA,00:05,05:12,05:25,05:40,05:53,06:09,06:20,06:27,06:39,06:46,06:59,07:04,07:17,07:23,07:35,07:43,07:53,08:03,08:07
DIGH,00:10,05:17,05:30,05:45,05:58,06:14,06:25,06:32,06:44,06:51,07:04,07:09,07:22,07:28,07:40,07:48,07:58,08:08,08:12
AIRL,00:13,05:20,05:33,05:48,06:01,06:17,06:28,06:35,06:47,06:54,07:07,07:12,07:25,07:31,07:43,07:51,08:01,08:11,08:15
RABE,00:16,05:23,05:36,05:51,06:04,06:20,06:31,06:38,06:50,06:57,07:10,07:15,07:28,07:34,07:46,07:54,08:04,08:14,08:18
GNSL,00:19,05:26,05:39,05:54,06:07,06:23,06:34,06:41,06:53,07:00,07:13,07:18,07:31,07:37,07:49,07:57,08:07,08:17,08:21
KPHN,00:22,05:29,05:42,05:57,06:10,06:26,06:37,06:44,06:56,07:03,07:16,07:21,07:34,07:40,07:52,08:00,08:10,08:20,08:24
TUH,00:26,05:33,05:46,06:01,06:14,06:30,06:41,06:48,07:00,07:07,07:20,07:25,07:38,07:44,07:56,08:04,08:14,08:24,08:28
SNPD,,,05:50,,06:18,06:34,,,07:04,,07:24,,07:42,,08:00,,08:18,,08:32
VSH,,,05:54,,06:22,06:38,,,07:08,,07:28,,07:46,,08:04,,08:22,,08:37
JNJ,00:30,05:37,,06:05,,,06:45,06:52,,07:11,,07:29,,07:48,,08:08,,08:28,
NEU,00:34,05:41,,06:10,,,06:49,06:57,,07:18,,07:34,,07:53,,08:13,,08:33,
SWDV,00:38,05:45,,,,,06:53,,,,,07:38,,,,,,08:37,
BEPR,00:42,05:49,,,,,06:57,,,,,07:42,,,,,,08:41,
KHAG,00:46,05:53,,,,,07:01,,,,,07:46,,,,,,08:45,
MANR,00:49,05:56,,,,,07:04,,,,,07:49,,,,,,08:48,
KNDS,00:52,05:59,,,,,07:07,,,,,07:52,,,,,,08:51,
PNVL,00:57,06:04,,,,,07:12,,,,,07:57,,,,,,08:56,
