Station,platform,99602,99604,99606,99608,99610,99612,99614,99616,99618,99620,99622,99624,
URAN,1/2 BOTH,06:10,07:15,08:15,09:15,10:15,12:15,14:15,16:15,18:00,19:05,20:05,21:35,
DRGI,2 BOTH,06:12,07:17,08:17,09:17,10:17,12:17,14:17,16:17,18:02,19:07,20:07,21:37,
NESA,2 BOTH,06:15,07:20,08:20,09:20,10:20,12:20,14:20,16:20,18:05,19:10,20:10,21:40,
SEMK,2 BOTH,06:18,07:23,08:23,09:23,10:23,12:23,14:23,16:23,18:08,19:13,20:13,21:43,
GAVHAN,2 BOTH,06:22,07:27,08:27,09:27,10:27,12:27,14:27,16:27,18:12,19:17,20:17,21:47,
KARP,2 BOTH,06:26,07:31,08:31,09:31,10:31,12:31,14:31,16:31,18:16,19:21,20:21,21:51,
BMDR,2 BOTH,06:30,07:35,08:35,09:35,10:35,12:35,14:35,16:35,18:20,19:25,20:25,21:55,
TRGR,2 BOTH,06:33,07:38,08:38,09:38,10:38,12:38,14:38,16:38,18:23,19:28,20:28,21:58,
SWDV,4 BOTH,06:38,07:43,08:43,09:43,10:43,12:43,14:43,16:43,18:28,19:33,20:33,22:03,
NEU,5/6 BOTH,06:44,07:49,08:49,09:49,10:49,12:49,14:49,16:49,18:34,19:39,20:39,22:09,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
