Train No.,98905,98901,98903
PNVL,07:39,05:57,06:53
KNDS,07:44,06:02,06:58
MANR,07:47,06:05,07:01
KHAG,07:50,06:08,07:04
BEPR,07:54,06:12,07:08
SWDV,07:58,06:16,07:12
NEU,08:01,06:19,07:15
JNJ,08:04,06:22,07:18
SNPD,08:07,06:25,07:21
VSH,08:09,06:27,07:23
MNKD,08:17,06:35,07:31
GV,08:20,06:38,07:34
CMBR,08:22,06:40,07:36
TKNG,08:25,06:43,07:39
CLA,08:28,06:46,07:42
CHMB,08:31,06:49,07:45
GTBN,08:34,06:52,07:48
VDLR,08:45,07:02,08:02
KCE,08:50,07:07,08:09
MM,08:53,07:10,08:12
BA,08:57,07:14,08:16
KHAR,09:01,07:18,08:21
STC,09:04,07:21,08:24
VLP,09:07,07:24,08:27
ADH,09:11,07:28,08:31
JOS,09:15,07:32,08:35
RMAR,09:18,07:35,08:38
GMN,09:22,07:39,08:43
