Train No.,98301,98001,98801,98003,98303,98803,98005,98701
CSMT,00:05,00:13,00:17,00:24,,00:36,00:40,04:28
Masjid,00:08,00:16,00:20,00:27,,00:39,00:43,04:31
Sandhurst Road,00:11,00:19,00:23,00:30,,00:42,00:46,04:34
Dockyard Road,00:13,00:21,00:25,00:32,,00:44,00:48,04:36
Reay Road,00:15,00:23,00:27,00:34,,00:46,00:50,04:38
Cotton Green,00:17,00:25,00:29,00:36,,00:48,00:52,04:40
Sewri,00:20,00:28,00:32,00:39,,00:51,00:55,04:43
Vadala Road,00:23,00:31,00:35,00:42,00:50,00:54,00:58,04:46
King's Circle,,,00:39,,,00:58,,04:50
Mahim Jn,,,00:41,,,01:00,,04:53
Bandra,,,00:45,,,01:04,,04:57
Khar Road,,,,,,,,05:01
Santacruz,,,,,,,,05:04
Vileparle,,,,,,,,05:07
Andheri,,,,,,,,05:11
Jogeshwari,,,,,,,,05:15
Ram Mandir,,,,,,,,05:18
Goregaon,,,,,,,,05:22
GTB Nagar,00:28,00:36,,00:47,00:55,,01:03,
Chunabhatti,00:31,00:39,,00:50,00:58,,01:06,
Kurla,00:34,00:42,,00:53,01:01,,01:09,
Tilaknagar,00:37,00:45,,00:56,01:04,,01:12,
Chembur,00:39,00:47,,00:58,01:06,,01:14,
Govandi,00:42,00:50,,01:01,01:09,,01:17,
Mankhurd,00:45,00:53,,01:04,01:13,,01:20,
Vashi,00:54,01:02,,01:13,01:22,,01:29,
Sanpada,00:56,01:04,,01:15,01:24,,01:31,
Juinagar,00:59,01:07,,01:18,01:27,,01:34,
Nerul,01:03,01:11,,01:22,01:31,,01:38,
Seawood Darave,01:06,01:14,,01:25,01:34,,01:41,
Belapur CBD,01:10,01:18,,01:29,01:38,,01:45,
Kharghar,,01:22,,01:33,,,01:49,
Mansarovar,,01:25,,01:36,,,01:52,
Khandeshwar,,01:28,,01:39,,,01:55,
Panvel,,01:33,,01:44,,,02:00,
,,,,,,,,
Train No.,98007,98009,98011,98703,98013,98705,98015,
CSMT,04:32,,04:52,04:56,05:06,05:10,05:18,
Masjid,04:35,,04:55,04:59,05:09,05:13,05:21,
Sandhurst Road,04:38,,04:58,05:02,05:12,05:16,05:24,
Dockyard Road,04:40,,05:00,05:04,05:14,05:18,05:26,
Reay Road,04:42,,05:02,05:06,05:16,05:20,05:28,
Cotton Green,04:44,,05:04,05:08,05:18,05:22,05:30,
Sewri,04:47,,05:07,05:11,05:21,05:25,05:33,
Vadala Road,04:50,05:06,05:10,05:14,05:24,05:28,05:36,
King's Circle,,,,05:18,,05:32,,
Mahim Jn,,,,05:21,,05:35,,
Bandra,,,,05:25,,05:39,,
Khar Road,,,,05:29,,05:43,,
Santacruz,,,,05:32,,05:46,,
Vileparle,,,,05:35,,05:49,,
Andheri,,,,05:39,,05:53,,
Jogeshwari,,,,05:43,,05:57,,
Ram Mandir,,,,05:46,,06:00,,
Goregaon,,,,05:50,,06:04,,
GTB Nagar,04:55,05:11,05:15,,05:29,,05:41,
Chunabhatti,04:58,05:14,05:18,,05:32,,05:44,
Kurla,05:01,05:17,05:21,,05:35,,05:47,
Tilaknagar,05:04,05:20,05:24,,05:38,,05:50,
Chembur,05:06,05:22,05:26,,05:40,,05:52,
Govandi,05:09,05:25,05:29,,05:43,,05:55,
Mankhurd,05:12,05:28,05:32,,05:46,,05:58,
Vashi,05:21,05:37,05:41,,05:55,,06:07,
Sanpada,05:23,05:39,05:43,,05:57,,06:09,
Juinagar,05:26,05:42,05:46,,06:01,,06:12,
Nerul,05:30,05:46,05:50,,06:05,,06:16,
Seawood Darave,05:33,05:49,05:53,,06:08,,06:19,
Belapur CBD,05:37,05:53,05:57,,06:12,,06:23,
Kharghar,05:41,05:57,06:01,,06:16,,06:27,
Mansarovar,05:44,06:00,06:04,,06:19,,06:30,
Khandeshwar,05:47,06:03,06:07,,06:22,,06:33,
Panvel,05:52,06:08,06:12,,06:27,,06:38,
,,,,,,,,
Train No.,98017,98707,98019,98805,98021,98023,98709,
CSMT,05:22,05:26,05:30,05:33,,05:43,05:50,
Masjid,05:25,05:29,05:33,05:36,,05:46,05:53,
Sandhurst Road,05:28,05:32,05:36,05:39,,05:49,05:56,
Dockyard Road,05:30,05:34,05:38,05:41,,05:51,05:58,
Reay Road,05:32,05:36,05:40,05:43,,05:53,06:00,
Cotton Green,05:34,05:38,05:42,05:45,,05:55,06:02,
Sewri,05:37,05:41,05:45,05:48,,05:58,06:05,
Vadala Road,05:40,05:44,05:48,05:51,05:52,06:01,06:08,
King's Circle,,05:48,,05:55,,,06:12,
Mahim Jn,,05:51,,05:58,,,06:15,
Bandra,,05:55,,06:02,,,06:19,
Khar Road,,05:59,,,,,06:23,
Santacruz,,06:02,,,,,06:26,
Vileparle,,06:05,,,,,06:29,
Andheri,,06:09,,,,,06:33,
Jogeshwari,,06:13,,,,,06:37,
Ram Mandir,,06:16,,,,,06:40,
Goregaon,,06:20,,,,,06:44,
GTB Nagar,05:45,,05:53,,05:57,06:06,,
Chunabhatti,05:48,,05:56,,06:00,06:09,,
Kurla,05:51,,05:59,,06:03,06:12,,
Tilaknagar,05:54,,06:02,,06:06,06:15,,
Chembur,05:56,,06:04,,06:08,06:17,,
Govandi,05:59,,06:07,,06:11,06:20,,
Mankhurd,06:02,,06:10,,06:14,06:23,,
Vashi,06:11,,06:19,,06:23,06:32,,
Sanpada,06:13,,06:21,,06:25,06:34,,
Juinagar,06:16,,06:24,,06:28,06:37,,
Nerul,06:20,,06:28,,06:32,06:41,,
Seawood Darave,06:23,,06:31,,06:35,06:44,,
Belapur CBD,06:27,,06:35,,06:39,06:48,,
Kharghar,06:31,,06:39,,06:43,06:52,,
Mansarovar,06:34,,06:42,,06:46,06:55,,
Khandeshwar,06:37,,06:45,,06:49,06:58,,
Panvel,06:42,,06:50,,06:54,07:03,,
,,,,,,,,
Train No.,98025,98027,98807,98029,98711,98031,98033,98713
CSMT,05:56,06:00,06:04,06:08,06:11,06:16,06:24,06:28
Masjid,05:59,06:03,06:07,06:11,06:14,06:19,06:27,06:31
Sandhurst Road,06:02,06:06,06:10,06:14,06:17,06:22,06:30,06:34
Dockyard Road,06:04,06:08,06:12,06:16,06:19,06:24,06:32,06:36
Reay Road,06:06,06:10,06:14,06:18,06:21,06:26,06:34,06:38
Cotton Green,06:08,06:12,06:16,06:20,06:23,06:28,06:36,06:40
Sewri,06:11,06:15,06:19,06:23,06:26,06:31,06:39,06:43
Vadala Road,06:14,06:18,06:22,06:26,06:29,06:34,06:42,06:46
King's Circle,,,06:26,,06:33,,,06:50
Mahim Jn,,,06:29,,06:36,,,06:53
Bandra,,,06:34,,06:40,,,06:57
Khar Road,,,,,06:44,,,07:01
Santacruz,,,,,06:47,,,07:04
Vileparle,,,,,06:50,,,07:07
Andheri,,,,,06:54,,,07:11
Jogeshwari,,,,,06:58,,,07:15
Ram Mandir,,,,,07:01,,,07:18
Goregaon,,,,,07:05,,,07:22
GTB Nagar,06:19,06:23,,06:31,,06:39,06:47,
Chunabhatti,06:22,06:26,,06:34,,06:42,06:50,
Kurla,06:25,06:29,,06:37,,06:45,06:53,
Tilaknagar,06:28,06:32,,06:40,,06:48,06:56,
Chembur,06:30,06:34,,06:42,,06:50,06:58,
Govandi,06:33,06:37,,06:45,,06:53,07:01,
Mankhurd,06:36,06:40,,06:48,,06:56,07:04,
Vashi,06:45,06:49,,06:57,,07:05,07:13,
Sanpada,06:47,06:51,,06:59,,07:07,07:15,
Juinagar,06:50,06:54,,07:02,,07:10,07:18,
Nerul,06:54,06:58,,07:06,,07:15,07:22,
Seawood Darave,06:57,07:01,,07:09,,07:18,07:25,
Belapur CBD,07:01,07:05,,07:13,,07:22,07:29,
Kharghar,07:05,07:09,,07:17,,07:26,07:33,
Mansarovar,07:08,07:12,,07:20,,07:29,07:36,
Khandeshwar,07:11,07:15,,07:23,,07:32,07:39,
Panvel,07:16,07:20,,07:28,,07:37,07:44,
,,,,,,,,
Train No.,98035,98305,98809,98037,98901,98307,98811,
CSMT,,06:32,06:36,06:40,,06:46,06:50,
Masjid,,06:35,06:39,06:43,,06:49,06:53,
Sandhurst Road,,06:38,06:42,06:46,,06:52,06:56,
Dockyard Road,,06:40,06:44,06:48,,06:54,06:58,
Reay Road,,06:42,06:46,06:50,,06:56,07:00,
Cotton Green,,06:44,06:48,06:52,,06:58,07:02,
Sewri,,06:47,06:51,06:55,,07:01,07:05,
Vadala Road,06:46,06:50,06:54,06:58,07:02,07:05,07:09,
King's Circle,,,06:58,,07:07,,07:14,
Mahim Jn,,,07:01,,07:10,,07:17,
Bandra,,,07:05,,07:14,,07:21,
Khar Road,,,,,07:18,,,
Santacruz,,,,,07:21,,,
Vileparle,,,,,07:24,,,
Andheri,,,,,07:28,,,
Jogeshwari,,,,,07:32,,,
Ram Mandir,,,,,07:35,,,
Goregaon,,,,,07:39,,,
GTB Nagar,06:51,06:55,,07:03,06:52,07:10,,
Chunabhatti,06:54,06:58,,07:06,06:49,07:13,,
Kurla,06:57,07:01,,07:09,06:46,07:16,,
Tilaknagar,07:00,07:04,,07:12,06:43,07:19,,
Chembur,07:02,07:06,,07:14,06:40,07:21,,
Govandi,07:05,07:09,,07:17,06:38,07:24,,
Mankhurd,07:08,07:12,,07:20,06:35,07:27,,
Vashi,07:17,07:21,,07:29,06:27,07:36,,
Sanpada,07:19,07:23,,07:31,06:25,07:38,,
Juinagar,07:22,07:26,,07:34,06:22,07:41,,
Nerul,07:26,07:30,,07:38,06:19,07:45,,
Seawood Darave,07:29,07:33,,07:42,06:16,07:50,,
Belapur CBD,07:33,07:37,,07:46,06:12,07:56,,
Kharghar,07:37,,,07:50,06:08,,,
Mansarovar,07:40,,,07:53,06:05,,,
Khandeshwar,07:43,,,07:56,06:02,,,
Panvel,07:48,,,08:01,05:57,,,
,,,,,,,,
Train No.,98039,98041,98715,98043,98501,98045,98047,98813
CSMT,06:54,06:59,07:05,07:09,07:13,07:17,,07:21
Masjid,06:57,07:02,07:08,07:12,07:16,07:20,,07:24
Sandhurst Road,07:00,07:05,07:11,07:15,07:19,07:23,,07:27
Dockyard Road,07:02,07:07,07:13,07:17,07:21,07:25,,07:29
Reay Road,07:04,07:09,07:15,07:19,07:23,07:27,,07:31
Cotton Green,07:06,07:11,07:17,07:21,07:25,07:29,,07:33
Sewri,07:09,07:14,07:20,07:24,07:28,07:32,,07:36
Vadala Road,07:13,07:17,07:23,07:27,07:31,07:35,07:39,07:39
King's Circle,,,07:29,,,,,07:43
Mahim Jn,,,07:32,,,,,07:46
Bandra,,,07:36,,,,,07:50
Khar Road,,,07:40,,,,,
Santacruz,,,07:43,,,,,
Vileparle,,,07:46,,,,,
Andheri,,,07:50,,,,,
Jogeshwari,,,07:54,,,,,
Ram Mandir,,,07:57,,,,,
Goregaon,,,08:01,,,,,
