Train No.,99211,99419,99213,99421,99011,99215,99423,99217,99425,99013,99219,99427,99015,99221,99429,99017,99431,99223,99433
Thane,08:14,08:23,08:31,08:36,08:41,08:51,08:56,09:04,09:09,09:14,09:19,09:30,09:39,09:47,09:53,10:01,10:07,10:12,10:20
DIGH,08:19,08:28,08:36,08:41,08:46,08:56,09:01,09:09,09:14,09:19,09:24,09:35,09:44,09:52,09:58,10:06,10:12,10:17,10:25
AIRL,08:22,08:31,08:39,08:44,08:49,08:59,09:04,09:12,09:17,09:22,09:27,09:38,09:47,09:55,10:01,10:09,10:15,10:20,10:28
RABE,08:25,08:34,08:42,08:47,08:52,09:02,09:07,09:15,09:20,09:25,09:30,09:41,09:50,09:58,10:04,10:12,10:18,10:23,10:31
GNSL,08:28,08:37,08:45,08:50,08:55,09:05,09:10,09:18,09:23,09:28,09:33,09:44,09:53,10:01,10:07,10:15,10:21,10:26,10:34
KPHN,08:31,08:40,08:48,08:53,08:58,09:08,09:13,09:21,09:26,09:31,09:36,09:47,09:56,10:04,10:10,10:18,10:24,10:29,10:37
TUH,08:35,08:44,08:52,08:57,09:02,09:12,09:17,09:25,09:30,09:35,09:40,09:51,10:00,10:08,10:14,10:22,10:28,10:33,10:41
SNPD,,08:48,,09:01,,,09:21,,09:34,,,09:55,,,10:18,,10:32,,10:45
VSH,,08:52,,09:05,,,09:25,,09:39,,,09:59,,,10:22,,10:36,,10:50
JNJ,08:39,,08:56,,09:06,09:16,,09:29,,09:39,09:44,,10:04,10:12,,10:26,,10:37,
NEU,08:44,,09:01,,09:10,09:21,,09:34,,09:43,09:51,,10:08,10:17,,10:31,,10:42,
SWDV,,,,,09:14,,,,,09:47,,,10:12,,,10:35,,,
BEPR,,,,,09:18,,,,,09:51,,,10:16,,,10:39,,,
KHAG,,,,,09:22,,,,,09:55,,,10:20,,,10:43,,,
MANR,,,,,09:25,,,,,09:58,,,10:23,,,10:46,,,
KNDS,,,,,09:28,,,,,10:01,,,10:26,,,10:49,,,
PNVL,,,,,09:33,,,,,10:06,,,10:31,,,10:54,,,
