Train No.,90001,90017,90027,90039,90061,90011,90015,90019,90025,90029,90031,90045,90051,90059,90021,90033,90041,90053,90055,92009,90037,90057,90047,92003,92005,92013,92001,94001,90007,92015,90003,90009,92007,90035,90013,90043
CCG,,,,,,04:15,04:18,04:38,04:46,04:55,05:00,05:15,05:28,05:36,04:40,05:07,05:15,05:29,05:36,,,,05:19,,,,,,,,,,,,,
MEL,,,,,,04:18,04:21,04:41,04:49,04:58,05:03,05:18,05:31,05:39,04:43,05:10,05:18,05:32,05:39,,,,05:22,,,,,,,,,,,,,
CRD,,,,,,04:20,04:23,04:43,04:51,05:00,05:05,05:20,05:33,05:41,04:45,05:12,05:20,05:34,05:41,,,,05:24,,,,,,,,,,,,,
GTR,,,,,,04:23,04:26,04:46,04:54,05:03,05:08,05:23,05:36,05:44,04:48,05:15,05:23,05:37,05:44,,,,05:27,,,,,,,,,,,,,
MMCT,,,,,,04:25,04:28,04:48,04:56,05:05,05:10,05:25,05:38,05:46,04:50,05:17,05:25,05:39,05:48,,,,05:29,,,,,,,,,,,,,
MX,,,,,,04:28,04:31,04:51,04:59,05:08,05:13,05:28,05:41,05:49,,,,,,,05:17,05:45,05:31,,,,,,,,,,,,,
LP,,,,,,04:31,04:34,04:54,05:02,05:11,05:16,05:31,05:44,05:52,,,,,,,05:21,05:48,05:34,,,,,,,,,,,,,
PBHD,,,,,,04:34,04:37,04:57,05:05,05:14,05:19,05:34,05:47,05:55,,,,,,,05:24,05:51,05:37,,,,,,,,,,,,,
DR,,,,,,04:36,04:39,04:59,05:07,05:16,05:21,05:36,05:49,05:57,04:57,05:24,05:32,05:46,05:57,05:15,05:26,05:53,05:39,,,,,,,,,,,,,
MRU,,,,,,04:38,04:41,05:01,05:09,05:18,05:23,05:38,05:52,05:59,,,,,,,05:28,05:55,05:41,,,,,,,,,,,,,
MM,,,,,,04:41,04:44,05:04,05:12,05:21,05:26,05:41,05:55,06:02,,,,,,,05:31,05:58,05:44,,,,,,,,,,,,,
BA,04:05,04:55,05:20,05:40,06:15,04:45,04:48,05:08,05:16,05:25,05:30,05:45,05:59,06:06,05:03,05:30,05:37,05:51,06:02,05:22,05:35,06:02,05:48,,,,,,,,,,,,,
KHAR,04:09,04:58,05:23,05:45,06:18,04:48,04:51,05:11,05:19,05:28,05:33,05:48,06:02,06:09,,,,,,,05:39,06:05,05:51,,,,,,,,,,,,,
STC,04:12,05:00,05:25,05:47,06:20,04:50,04:53,05:13,05:21,05:30,05:35,05:50,06:04,06:11,,,,,,,05:41,06:07,05:54,,,,,,,,,,,,,
VLP,04:15,05:03,05:28,05:50,06:23,04:53,04:56,05:16,05:24,05:33,05:38,05:53,06:07,06:14,,,,,,,05:44,06:10,05:57,,,,,,,,,,,,,
