Station,platform,99602,99604,99606,99608,99610,99612,99614,99616,99618,99620,99622,99624,Station,platform,99702,99704,99706,99708,99710,99712,99714,99716,99718,99720,99722,99724,99726
URAN,1/2 BOTH,06:10,07:15,08:15,09:15,10:15,12:15,14:15,16:15,18:00,19:05,20:05,21:35,URAN,1/2 BOTH,05:30,06:40,07:45,08:45,09:45,11:15,13:15,15:15,17:15,18:35,19:35,20:50,22:30
DRGI,2 BOTH,06:12,07:17,08:17,09:17,10:17,12:17,14:17,16:17,18:02,19:07,20:07,21:37,DRGI,2 BOTH,05:32,06:42,07:47,08:47,09:47,11:17,13:17,15:17,17:17,18:37,19:37,20:52,22:32
NESA,2 BOTH,06:15,07:20,08:20,09:20,10:20,12:20,14:20,16:20,18:05,19:10,20:10,21:40,NESA,2 BOTH,05:35,06:45,07:50,08:50,09:50,11:20,13:20,15:20,17:20,18:40,19:40,20:55,22:35
SEMK,2 BOTH,06:18,07:23,08:23,09:23,10:23,12:23,14:23,16:23,18:08,19:13,20:13,21:43,SEMK,2 BOTH,05:38,06:48,07:53,08:53,09:53,11:23,13:23,15:23,17:23,18:43,19:43,20:58,22:38
GAVHAN,2 BOTH,06:22,07:27,08:27,09:27,10:27,12:27,14:27,16:27,18:12,19:17,20:17,21:47,GAVHAN,2 BOTH,05:42,06:52,07:57,08:57,09:57,11:27,13:27,15:27,17:27,18:47,19:47,21:02,22:42
KARP,2 BOTH,06:26,07:31,08:31,09:31,10:31,12:31,14:31,16:31,18:16,19:21,20:21,21:51,KARP,2 BOTH,05:46,06:56,08:01,09:01,10:01,11:31,13:31,15:31,17:31,18:51,19:51,21:06,22:46
BMDR,2 BOTH,06:30,07:35,08:35,09:35,10:35,12:35,14:35,16:35,18:20,19:25,20:25,21:55,BMDR,2 BOTH,05:50,07:00,08:05,09:05,10:05,11:35,13:35,15:35,17:35,18:55,19:55,21:10,22:50
TRGR,2 BOTH,06:33,07:38,08:38,09:38,10:38,12:38,14:38,16:38,18:23,19:28,20:28,21:58,TRGR,2 BOTH,05:53,07:03,08:08,09:08,10:08,11:38,13:38,15:38,17:38,18:58,19:58,21:13,22:53
BEPR,,,,,,,,,,,,,,BEPR,4 BOTH,06:03,07:13,08:18,09:18,10:18,11:48,13:48,15:48,17:48,19:08,20:08,21:23,23:03
SWDV,4 BOTH,06:38,07:43,08:43,09:43,10:43,12:43,14:43,16:43,18:28,19:33,20:33,22:03,,,,,,,,,,,,,,,
NEU,5/6 BOTH,06:44,07:49,08:49,09:49,10:49,12:49,14:49,16:49,18:34,19:39,20:39,22:09,,,,,,,,,,,,,,,
