Train No.,91039,91041,91043,91045,91047,91049,91051,91053,91055,90551,90553,90555,90557,90559,90561,94043,90565,90567,94057,90569,90571,90573,94047,90575,94005,94081,94011,94001,94013,94015,94017,94023,94007,94019,94063,94029,90709,90711,90713,94057,90715,90717,90719,90721,92153,90723,90725,92155,90727,90727A,90729,90731,94059,90735,92157,90737,90739,92159,90741,90743,90745,90747,90749,90751
CCG,00:13,00:16,00:20,00:28,00:31,00:38,00:43,00:50,01:00,14:41,,14:45,14:49,14:50,14:53,14:53,14:57,14:57,,,15:00,,15:05,15:07,05:45,06:35,07:18,,07:36,07:54,08:53,09:23,,08:46,19:00,10:24,17:42,17:45,17:48,17:50,17:51,17:53,17:54,17:56,,17:57,17:59,,,18:00,18:03,18:06,18:06,18:11,,18:13,18:14,,,18:16,18:19,18:22,18:22,18:25
MEL,00:16,00:19,00:23,00:31,00:34,00:41,00:46,00:53,01:03,14:44,,14:48,14:52,14:53,14:56,14:56,15:00,15:00,,,15:03,,15:08,15:10,05:48,06:39,07:21,,07:39,07:57,,09:26,,,19:03,10:27,17:45,17:48,17:51,17:53,17:54,17:56,17:57,17:59,,18:00,18:02,,,18:03,18:06,18:09,18:09,18:14,,18:16,18:17,,,18:19,18:22,18:25,18:25,18:28
CRD,00:18,00:21,00:25,00:33,00:36,00:43,00:48,00:55,01:05,14:46,,14:50,14:54,14:55,14:58,14:58,15:02,15:02,,,15:05,,15:10,15:12,05:50,06:41,07:23,,07:41,07:59,,09:28,,,19:05,10:29,17:47,17:50,17:53,17:55,17:56,17:58,17:59,18:01,,18:02,18:04,,,18:05,18:08,18:11,18:11,18:16,,18:18,18:19,,,18:21,18:24,18:27,18:27,18:30
GTR,00:21,00:24,00:28,00:36,00:39,00:46,00:51,00:58,01:08,14:49,,14:53,14:57,14:58,15:01,15:01,15:05,15:05,,,15:08,,15:13,15:15,05:53,06:44,07:26,,07:44,08:02,,09:31,,,19:08,10:32,17:50,17:53,17:56,17:58,17:59,18:01,18:02,18:04,,18:05,18:07,,,18:08,18:11,18:14,18:14,18:19,,18:21,18:22,,,18:24,18:27,18:30,18:30,18:33
MMCT,00:23,00:26,00:30,00:38,00:41,00:48,00:53,01:00,01:10,14:51,,14:55,14:59,15:00,15:03,15:03,15:07,15:07,,,15:10,,15:15,15:17,05:55,06:46,07:28,,07:46,08:04,09:02,09:33,,08:54,19:10,10:34,17:52,17:55,17:58,18:00,18:01,18:03,18:04,18:06,,18:07,18:09,,18:10,18:10,18:13,18:16,18:16,18:21,,18:23,18:24,,,18:26,18:29,18:32,18:32,18:35
MX,00:26,00:29,00:33,00:41,00:44,00:51,00:56,01:03,01:13,14:54,,14:58,15:02,,15:06,,15:10,,,,15:13,,15:18,,05:58,06:49,07:31,,,,,,,,,10:37,17:55,17:58,18:01,Air,18:04,,18:07,,,18:10,,,18:13,18:13,18:16,18:19,Air,,,18:26,,,,18:29,18:32,18:35,,18:38
LP,00:29,00:32,00:36,00:44,00:47,00:54,00:59,01:06,01:16,14:57,,15:01,15:05,,15:09,,15:13,,,,15:16,,15:21,,06:01,06:52,07:34,,,,,,,,,10:40,17:58,18:01,18:04,Condition,18:07,,18:10,,NOT ON,18:13,,,18:16,18:16,18:19,18:22,Condition,,,18:29,,,,18:32,18:35,18:38,,18:41
PBHD,00:32,00:35,00:39,00:47,00:50,00:57,01:02,01:09,01:19,15:00,,15:04,15:08,,15:12,,15:16,,,,15:19,,15:24,,06:04,06:55,07:37,,,,,,,,,10:43,18:01,18:04,18:07,,18:10,,18:13,,SUN,18:16,,,18:19,18:19,18:22,18:25,,,,18:32,,,,18:35,18:38,18:41,,18:44
DR,00:34,00:37,00:41,00:49,00:52,00:59,01:04,01:11,01:21,15:02,,15:06,15:10,15:07,15:14,15:10,15:18,15:14,,,15:21,,15:27,15:24,06:06,06:57,07:39,,07:53,08:11,09:09,09:40,,09:01,19:18,10:45,18:03,18:06,18:09,18:08,18:12,18:11,18:15,18:14,ONLY,18:18,18:18,,18:21,18:21,18:24,18:27,18:26,18:29,,18:34,18:32,,18:35,18:37,18:40,18:43,18:39,18:46
MRU,00:36,00:39,00:43,00:51,00:54,01:01,01:06,01:13,01:23,15:04,,15:08,15:12,,15:16,,15:20,,,,15:23,,15:30,,06:08,06:59,07:42,,,,,,,,,10:47,18:05,18:08,18:11,,18:14,,18:17,,,18:20,,,18:23,18:23,18:26,18:29,,,,18:36,,,,18:39,18:42,18:45,,18:48
