Train No.,90002,90004,90022,90008,90010,90014,90016,90030,90032,90036,90040,90048,90054,90012,90006,90018,90038,90052,90020,90034,90042,90028,94110,90050
VR,,,,,,,,,,,,,,,03:25,03:40,04:21,04:43,,,,04:00,,
NSP,,,,,,,,,,,,,,03:40,03:31,03:46,04:27,04:50,,,,04:06,,
BSR,,,,,,,,,,,,,,03:46,03:36,03:51,04:32,04:55,,,,04:11,,
NIG,,,,,,,,,,,,,,03:50,03:41,03:56,04:36,04:59,,,,04:15,,
BYR,,,,,,,,,,,,,,03:56,03:47,04:02,04:42,05:05,04:10,04:25,04:45,04:21,,04:55
MIRA,,,,,,,,,,,,,,04:01,03:52,04:07,04:47,05:10,04:16,04:31,04:51,04:26,,05:01
DIC,,,,,,,,,,,,,,04:05,03:56,04:11,04:51,05:14,04:20,04:35,04:55,04:30,,05:05
BVI,,03:50,04:25,04:05,04:10,04:15,04:20,04:38,04:42,04:53,04:58,05:10,05:20,04:11,04:00,04:16,04:56,05:18,04:25,04:41,05:00,04:35,,05:10
KILE,,03:55,04:31,04:11,04:16,04:20,04:26,04:43,04:48,04:59,05:04,05:14,05:26,,04:04,,,,,,,,,05:14
MDD,,03:58,04:34,04:14,04:19,04:23,04:29,04:46,04:51,05:02,05:07,05:17,05:29,,04:07,,,,,,,,,05:17
GMN,,04:01,04:37,04:17,04:22,04:26,04:32,04:49,04:54,05:05,05:10,05:20,05:32,,04:10,,,,,,,,05:14,05:20
RMAR,,04:03,04:39,04:19,04:24,04:28,04:34,04:51,04:56,05:07,05:12,05:22,05:34,,04:12,,,,,,,,05:18,05:22
JOS,,04:06,04:42,04:22,04:27,04:31,04:37,04:54,04:59,05:10,05:15,05:25,05:37,,04:15,,,,,,,,05:20,05:25
ADH,04:05,04:11,04:46,04:27,04:32,04:36,04:42,05:00,05:04,05:15,05:20,05:29,05:42,,04:20,04:31,05:09,05:33,04:39,04:53,05:13,,05:24,05:30
VLP,04:09,04:14,04:49,04:30,04:35,04:39,04:45,05:03,05:08,05:19,05:24,05:33,05:45,,04:23,,,,,,,,05:28,05:33
STC,04:12,04:17,04:52,04:33,04:38,04:42,04:48,05:06,05:11,05:22,05:27,05:36,05:48,,04:26,,,,,,,,05:31,05:36
KHAR,04:15,04:20,04:55,04:36,04:41,04:45,04:51,05:09,05:14,05:25,05:30,05:39,05:51,,04:29,,,,,,,,05:34,05:39
BA,04:19,04:24,04:59,04:40,04:45,04:49,04:55,05:13,05:18,05:29,05:34,05:43,05:55,,04:33,04:41,05:18,05:42,04:48,05:02,05:22,,05:38,05:44
MM,04:22,04:27,05:02,04:43,04:48,04:52,04:58,05:16,05:21,05:32,05:37,05:46,05:58,,04:36,,,,,,,,05:41,05:47
MRU,04:25,04:30,05:05,04:46,04:51,04:55,05:01,05:19,05:24,05:35,05:40,05:49,06:01,,04:39,,,,,,,,05:44,05:50
DR,04:28,04:33,05:08,04:49,04:54,04:58,05:04,05:22,05:27,05:38,05:43,05:52,06:04,,04:42,04:47,05:24,05:48,04:54,05:08,05:28,,05:48,05:53
PBHD,04:31,04:36,05:11,04:52,04:57,05:01,05:07,05:25,05:30,05:41,05:46,05:55,06:07,,04:45,,,,,,,,05:50,05:56
LP,04:34,04:39,05:14,04:55,05:00,05:04,05:10,05:28,05:33,05:44,05:49,05:58,06:10,,04:48,,,,,,,,05:53,05:59
MX,04:37,04:42,05:17,04:58,05:03,05:07,05:13,05:31,05:36,05:47,05:52,06:01,06:13,,04:51,,,,,,,,05:56,06:02
MMCT,04:40,04:45,05:20,05:01,05:06,05:10,05:16,05:34,05:39,05:50,05:55,06:04,06:16,,04:54,04:55,05:31,05:55,05:01,05:15,05:35,,05:59,06:06
GTR,04:42,04:47,05:22,05:03,05:08,05:12,05:18,05:36,05:41,05:52,05:57,06:06,06:18,,04:56,04:57,05:33,05:57,05:03,05:17,05:37,,06:01,06:08
CRD,04:44,04:49,05:24,05:05,05:10,05:14,05:20,05:38,05:43,05:54,05:59,06:08,06:20,,04:58,04:59,05:35,05:59,05:05,05:19,05:39,,06:03,06:10
MEL,04:47,04:52,05:27,05:08,05:13,05:17,05:23,05:41,05:46,05:57,06:02,06:11,06:23,,05:01,05:02,05:38,06:02,05:08,05:22,05:42,,06:06,06:13
CCG,04:50,04:56,05:30,05:12,05:16,05:21,05:26,05:44,05:49,06:00,06:06,06:15,06:27,,05:05,05:08,05:42,06:07,05:12,05:26,05:46,,06:10,06:17
,,,,,,,,,,,,,,,,,,# NON,,,,,,
