Train No.,90500,90490,90492,90494,90496,90504,90508,90506,90502,90498,92104,92106,92108,90510,90514,90516,90520,90524,90532,90538,90540,90546,90550,90552,90554,90556,90512,90522,90534,90548,90536,92112,92116,92118,92120
VR,,,,,,,,,,12:55,13:02,13:06,13:11,,,,,,,,,,,,,,13:25,13:34,13:42,14:05,,13:29,13:46,13:52,14:09
NSP,,,,,,,,,,13:01,13:08,13:12,13:18,,,,,,,,,,,,,,13:31,13:40,13:48,14:11,,13:36,13:53,13:58,14:15
BSR,13:09,,,,,,,,,13:06,13:13,13:17,13:23,,,,,,,,,,,,,,13:36,13:45,13:53,14:16,,13:41,13:58,14:03,14:20
NIG,13:15,,,,,,,,,13:11,13:18,13:21,13:28,,,,,,,,,,,,,,13:40,13:49,13:57,14:20,,13:45,14:04,14:08,14:24
BYR,13:21,,,,,,,13:30,,13:17,13:23,13:26,13:34,,,,,,,,,,,,,,13:46,13:55,14:03,14:26,14:07,13:51,14:10,14:14,14:30
MIRA,13:27,,,,,,,13:36,,13:23,13:28,13:31,13:40,,,,,,,,,,,,,,13:51,14:00,14:08,14:31,14:12,13:56,14:15,14:19,14:35
DIC,13:31,,,,,,,13:40,,13:27,13:32,13:36,13:44,,,,,,,,,,,,,,13:55,14:04,14:12,14:35,14:16,14:00,14:19,14:24,14:39
BVI,13:37,13:22,13:29,13:32,13:35,13:40,13:46,13:45,,13:34,13:37,13:42,13:49,13:51,13:59,14:04,14:08,14:11,14:17,14:27,14:30,14:35,14:40,14:43,14:48,14:47,14:01,14:09,14:18,14:41,14:21,14:06,14:24,14:30,14:44
KILE,,13:30,13:34,13:37,13:40,13:46,13:52,,,,13:42,,,13:56,14:05,14:09,14:13,14:16,14:22,14:33,14:36,14:41,14:46,14:49,14:54,,,,,,14:25,,14:28,,
MDD,,13:33,13:37,13:40,13:43,13:49,13:55,,,,13:45,,,13:59,14:08,14:12,14:16,14:19,14:25,14:36,14:39,14:44,14:49,14:52,14:57,,,,,,14:28,,14:31,,
GMN,,13:36,13:40,13:43,13:47,13:52,13:58,,13:49,,13:48,,,14:02,14:11,14:15,14:19,14:22,14:28,14:39,14:42,14:47,14:52,14:55,15:00,,,,,,14:31,,14:34,,
RMAR,,13:38,13:42,--,13:49,13:54,14:00,,13:52,,13:50,,,14:04,14:13,14:17,14:21,14:24,14:30,14:41,14:44,14:49,14:54,14:57,15:02,,,,,,--,,14:36,,
