Station,platform,98702,98704,98706,98708,98710,98712,98714,98718,98720,98722,98724,98726,98728,98730,98732,98734,98736,98738,98740,98742,98744,91394,98746,98748,98750,98754,98756,98758,98760,98762,98764,98766,98768,98770,91396,98772,98774,98776,98778,98780,98782,98784,98786,98788,98716,91392,98752,98802,98804,98806,98808,98810,98812,98814,98816,98818,98820,98822,98824,98826,98828,98830,98832,98834,98836,98838,98840,98842,98844,98846,98848,98850,98852,98854,98856,98858,98860,98862,98864,98866,98868,98870,98872,98874,98876,98878,98880,98882,98884,98886
GMN,2 LEFT,00:07,05:05,05:17,05:33,05:59,06:14,06:35,07:17,07:47,08:17,08:51,09:13,09:46,10:06,10:35,11:00,11:23,11:54,12:27,12:53,13:15,13:38,14:05,14:33,14:59,16:01,16:29,16:58,17:25,17:53,18:14,18:41,19:10,19:27,19:45,19:56,20:26,20:51,21:15,21:43,22:15,22:40,23:06,23:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMAR,2 RIGHT,00:11,05:09,05:21,05:37,06:03,06:18,06:39,07:21,07:51,08:21,08:55,09:17,09:50,10:10,10:39,11:04,11:28,11:59,12:31,12:57,13:19,13:41,14:09,14:37,15:03,16:05,16:33,17:02,17:29,17:57,18:18,18:45,19:14,19:31,19:49,20:00,20:30,20:55,21:19,21:47,22:19,22:44,23:10,23:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JOS,6 LEFT,00:14,05:12,05:24,05:40,06:06,06:21,06:42,07:24,07:54,08:24,08:58,09:20,09:53,10:13,10:42,11:07,11:31,12:02,12:34,13:00,13:22,13:44,14:12,14:40,15:06,16:08,16:36,17:05,17:32,18:00,18:21,18:48,19:17,19:34,19:52,20:03,20:33,20:58,21:22,21:50,22:22,22:47,23:13,23:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADH,2 LEFT,00:18,05:16,05:28,05:44,06:10,06:25,06:46,07:28,07:58,08:28,09:02,09:24,09:57,10:17,10:46,11:11,11:35,12:06,12:38,13:04,13:26,13:48,14:16,14:44,15:10,16:12,16:40,17:09,17:36,18:04,18:26,18:52,19:21,19:38,19:56,20:07,20:37,21:02,21:26,21:54,22:26,22:51,23:17,23:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VLP,2 RIGHT,00:22,05:20,05:32,05:48,06:14,06:29,06:50,07:32,08:02,08:32,09:07,09:28,10:01,10:21,10:50,11:15,11:39,12:11,12:42,13:08,13:30,13:52,14:20,14:48,15:14,16:16,16:44,17:13,17:40,18:08,18:30,18:56,19:25,19:42,20:00,20:11,20:41,21:06,21:30,21:58,22:30,22:55,23:21,23:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STC,2 RIGHT,00:25,05:23,05:35,05:51,06:17,06:32,06:53,07:35,08:05,08:35,09:10,09:31,10:04,10:24,10:53,11:18,11:43,12:15,12:45,13:11,13:33,13:55,14:23,14:51,15:17,16:19,16:47,17:16,17:43,18:11,18:33,18:59,19:28,19:45,20:03,20:14,20:44,21:09,21:33,22:01,22:33,22:58,23:24,23:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHAR,2 RIGHT,00:28,05:26,05:38,05:54,06:20,06:35,06:56,07:38,08:08,08:38,09:13,09:34,10:07,10:27,10:56,11:21,11:46,12:18,12:48,13:14,13:36,13:58,14:26,14:54,15:20,16:22,16:50,17:19,17:46,18:14,18:36,19:02,19:31,19:49,20:06,20:17,20:47,21:12,21:36,22:04,22:36,23:01,23:27,23:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,7 RIGHT,00:32,05:30,05:42,05:58,06:24,06:39,07:00,07:42,08:12,08:43,09:17,09:38,10:11,10:31,11:00,11:25,11:51,12:23,12:52,13:18,13:40,14:02,14:30,14:58,15:24,16:26,16:54,17:23,17:50,18:18,18:41,19:07,19:36,19:54,20:10,20:21,20:51,21:16,21:40,22:08,22:40,23:05,23:31,23:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM,6 RIGHT,00:35,05:33,05:45,06:01,06:27,06:42,07:03,07:45,08:15,08:47,09:21,09:42,10:14,10:35,11:03,11:29,11:54,12:27,12:55,13:21,13:43,14:05,14:33,15:01,15:27,16:29,16:57,17:26,17:53,18:22,18:45,19:11,19:40,19:57,20:13,20:24,20:55,21:19,21:43,22:11,22:43,23:08,23:34,00:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KCE,2 LEFT,00:38,05:36,05:48,06:04,06:30,06:45,07:06,07:48,08:18,08:50,09:24,09:45,10:17,10:38,11:06,11:32,11:57,12:30,12:58,13:24,13:46,14:08,14:36,15:04,15:30,16:32,17:00,17:29,17:56,18:25,18:48,19:14,19:44,20:00,20:16,20:27,20:58,21:22,21:46,22:14,22:46,23:11,23:37,00:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
