Station	platform	90170	90240	90740	90762	90794	94100	90232	90202	90224	90272	90284	90308	90330	90348	90378	90396	90558	90684	90708	90752	90816	90828	94110	94092	94112	90138	90160	90180	90204	90222	90246	90276	90302	90318	90326	90338	90366	90384	90410A	90418	90442	90452	90474	90566	90592	90610	90618	90636	90656	90680	90694	90726	90736	90756	90786	90804	90834	90848	90864	94098	94112	90902	90918	90948	90132	90284A	90300	90212	90282	94104	90100	90128	90140	90166	90178	94092	90214	90226	90236	90268	90306	90316	90332	90362	90374	94088	90416	90430	90456	90466	90480	90576	90580	90598	90612	90626	90650	90666	90682	90692	90702	90718	90742	90760	90776	90788	90814	90822	90836	90842	90856	90870	94104	90900	90930	90942	90952	90958	90974	91014	94100	94106	90110	90116	90144	90198	90208	90286	90296	90312	90340	90352	90376	90390	94092	90420	90426	90444	90460	90472	90482	90570	90578	90586	90602	90620	90642	90686	90728	90746	90770	90790	90808	90838	90878	90898	90912	90922	90938	90956	90972	90980	91008	94102	90124	90154	90370	90398	90436	90462	90638	90662	90714	90738	90782	90830	90916	90978	91020	94114	90112	90126	90142	90162	90410	90424	90432	90446	90606	90622	90646	90660	90676	90764	90774	90846	90860	90874	90904	90934	90964	90320	90380	90476	90596	90616	90754	90796	90810	90908	90926	90944	90634	90654	90664	90690	90768	90148	90564	90168	90230	90328	90386	90574	90278	90358	90594	94114	90238	90304	90344	90372	90670	90710	90778	90248	90254	90256	90258	90262	90982	94098	90998	91004	94084	90072	90108	90628	90644	90688	90720	90102	90146	90174	90266	92016	92020	92026	92036	92040	92052	90294	92062	92064	92068	92076	90608	92140	92146	90766	92158	92162	90858	92174	92186	92190	91010	94094	94006	90120	90122	90130	90150	90182	90206	90270	90310	90324	90334	90342	90356	90392	90412	90422	90450	90470	90562	90572	90588	90600	90614	90840	90844	90862	94110	90910	90924	90936	90940	90946	90950	90954	90962	90968	90976
BA	2 LEFT	08:10	09:16	18:42	19:02	19:39	21:14																																																																																																																																																																																																																																																																																																																					
MM	2 LEFT	08:14	09:20	18:45	19:06	19:42	21:18																																																																																																																																																																																																																																																																																																																					
MRU	2 RIGHT	08:17	09:23	18:48	19:09	19:45	21:21																																																																																																																																																																																																																																																																																																																					
DR	2 LEFT	08:21	09:27	18:52	19:13	19:49	21:25																																																																																																																																																																																																																																																																																																																					
PBHD	2 RIGHT	08:23	09:29	18:54	19:15	19:51	21:27																																																																																																																																																																																																																																																																																																																					
LP	2 LEFT	08:26	09:32	18:57	19:18	19:54	21:30																																																																																																																																																																																																																																																																																																																					
MX	3 RIGHT	08:29	09:35	19:00	19:21	19:57	21:33																																																																																																																																																																																																																																																																																																																					
MMCT	2 RIGHT	08:32	09:38	19:03	19:24	20:00	21:36																																																																																																																																																																																																																																																																																																																					
GTR	2 LEFT	08:34	09:40	19:05	19:26	20:02	21:38																																																																																																																																																																																																																																																																																																																					
CRD	2 LEFT	08:36	09:42	19:07	19:28	20:04	21:40																																																																																																																																																																																																																																																																																																																					
MEL	2 LEFT	08:39	09:45	19:10	19:31	20:07	21:43																																																																																																																																																																																																																																																																																																																					
CCG		08:43	09:50	19:14	19:34	20:10	21:46																																																																																																																																																																																																																																																																																																																					
ADH	1 RIGHT							08:57																																																																																																																																																																																																																																																																																																																				
VLP	4 RIGHT							09:01																																																																																																																																																																																																																																																																																																																				
STC	4 RIGHT							09:04																																																																																																																																																																																																																																																																																																																				
KHAR	4 RIGHT							09:07																																																																																																																																																																																																																																																																																																																				
BA	3 RIGHT							09:11																																																																																																																																																																																																																																																																																																																				
MM	2 LEFT							09:14																																																																																																																																																																																																																																																																																																																				
MRU	2 RIGHT							09:17																																																																																																																																																																																																																																																																																																																				
DR	2 LEFT							09:21																																																																																																																																																																																																																																																																																																																				
