Station,platform,99001,99003,99005,99007,99009,99011,99013,99015,99017,99019,99021,99023,99025,99027,99029,99031,99033,99035,99037,99039,99041,99043,99045,99047,99049,99051,99053,99055,99057,99059,99061,99063,99065,99067,99069,99071,99073
TNA,9 & 10,00:05,05:12,06:20,07:04,08:03,08:41,09:14,09:39,10:01,10:39,11:14,12:00,12:49,13:24,14:03,14:36,14:54,15:20,16:00,16:24,16:48,17:23,17:54,18:10,18:34,19:14,19:48,19:59,20:15,20:50,21:11,21:36,21:52,22:15,22:55,23:14,23:32
DIGH,2 LEFT,00:10,05:17,06:25,07:09,08:08,08:46,09:19,09:44,10:06,10:44,11:19,12:05,12:54,13:29,14:08,14:41,14:59,15:25,16:05,16:29,16:53,17:28,17:59,18:15,18:39,19:19,19:53,20:04,20:20,20:55,21:16,21:41,21:57,22:20,23:00,23:19,23:37
AIRL,1 BOTH,00:13,05:20,06:28,07:12,08:11,08:49,09:22,09:47,10:09,10:47,11:22,12:09,12:57,13:32,14:11,14:44,15:02,15:28,16:08,16:32,16:56,17:31,18:02,18:18,18:42,19:22,19:56,20:07,20:23,20:58,21:19,21:44,22:00,22:23,23:03,23:22,23:40
RABE,1 BOTH,00:16,05:23,06:31,07:15,08:14,08:52,09:25,09:50,10:12,10:50,11:25,12:13,13:00,13:35,14:14,14:47,15:05,15:31,16:11,16:35,16:59,17:34,18:05,18:21,18:45,19:25,19:59,20:10,20:26,21:01,21:22,21:47,22:03,22:26,23:06,23:25,23:43
GNSL,1 BOTH,00:19,05:26,06:34,07:18,08:17,08:55,09:28,09:53,10:15,10:53,11:28,12:16,13:03,13:38,14:17,14:50,15:08,15:34,16:14,16:38,17:02,17:37,18:08,18:24,18:48,19:28,20:02,20:13,20:29,21:04,21:25,21:50,22:06,22:29,23:09,23:28,23:46
KPHN,1 BOTH,00:22,05:29,06:37,07:21,08:20,08:58,09:31,09:56,10:18,10:56,11:31,12:19,13:06,13:41,14:20,14:53,15:11,15:37,16:17,16:41,17:05,17:40,18:11,18:27,18:51,19:31,20:05,20:16,20:32,21:07,21:28,21:53,22:09,22:32,23:12,23:31,23:49
TUH,1 BOTH,00:26,05:33,06:41,07:25,08:24,09:02,09:35,10:00,10:22,11:00,11:35,12:23,13:10,13:45,14:24,14:57,15:15,15:41,16:21,16:45,17:09,17:44,18:15,18:31,18:55,19:35,20:09,20:20,20:36,21:11,21:32,21:57,22:13,22:36,23:16,23:35,23:53
JNJ,1 BOTH,00:30,05:37,06:45,07:29,08:28,09:06,09:39,10:04,10:26,11:05,11:39,12:28,13:14,13:49,14:28,15:01,15:19,15:45,16:25,16:49,17:13,17:48,18:19,18:35,18:59,19:39,20:13,20:24,20:40,21:15,21:36,22:01,22:17,22:40,23:20,23:39,23:57
NEU,1 BOTH,00:34,05:41,06:49,07:34,08:33,09:10,09:43,10:08,10:31,11:11,11:44,12:33,13:19,13:53,14:32,15:05,15:23,15:49,16:29,16:53,17:17,17:52,18:23,18:39,19:03,19:43,20:18,20:28,20:44,21:19,21:40,22:05,22:23,22:44,23:24,23:43,00:01
SWDV,1 BOTH,00:38,05:45,06:53,07:38,08:37,09:14,09:47,10:12,10:35,11:15,11:48,12:37,13:23,13:57,14:36,15:09,15:27,15:53,16:33,16:57,17:21,17:56,18:27,18:43,19:07,19:47,20:22,20:32,20:48,21:23,21:43,22:09,22:27,22:48,23:28,23:47,00:05
BEPR,1 BOTH,00:42,05:49,06:57,07:42,08:41,09:18,09:51,10:16,10:39,11:19,11:52,12:41,13:27,14:01,14:40,15:13,15:31,15:57,16:37,17:01,17:25,18:00,18:31,18:46,19:11,19:51,20:26,20:36,20:52,21:27,21:47,22:13,22:31,22:52,23:32,23:51,00:09
KHAG,1 BOTH,00:46,05:53,07:01,07:46,08:45,09:22,09:55,10:20,10:43,11:23,11:56,12:45,13:31,14:05,14:44,15:17,15:35,16:01,16:41,17:05,17:29,18:04,18:35,18:50,19:15,19:55,20:30,20:40,20:56,21:31,21:51,22:17,22:35,22:56,23:36,23:55,00:13
MANR,3 BOTH,00:49,05:56,07:04,07:49,08:48,09:25,09:58,10:23,10:46,11:26,11:59,12:48,13:34,14:08,14:47,15:20,15:38,16:04,16:44,17:08,17:32,18:07,18:38,18:53,19:18,19:58,20:33,20:43,20:59,21:34,21:54,22:20,22:38,22:59,23:39,23:58,00:16
KNDS,1 BOTH,00:52,05:59,07:07,07:52,08:51,09:28,10:01,10:26,10:49,11:29,12:02,12:51,13:37,14:11,14:50,15:23,15:41,16:07,16:47,17:11,17:35,18:10,18:41,18:56,19:21,20:01,20:36,20:46,21:02,21:37,21:57,22:23,22:41,23:02,23:42,00:01,00:19
PNVL,,00:57,06:04,07:12,07:57,08:56,09:33,10:06,10:31,10:54,11:34,12:07,12:56,13:42,14:16,14:55,15:28,15:46,16:12,16:52,17:16,17:40,18:15,18:46,19:01,19:26,20:06,20:42,20:51,21:07,21:42,22:02,22:28,22:46,23:07,23:47,00:06,00:24
