train_no,route,destination,runs_on
99001,Thane - Panvel,PNVL,Daily
99003,Thane - Panvel,PNVL,Daily
99005,Thane - Panvel,PNVL,Daily
99007,Thane - Panvel,PNVL,Daily
99011,Thane - Panvel,PNVL,Daily
99013,Thane - Panvel,PNVL,Daily
99015,Thane - Panvel,PNVL,Daily
99017,Thane - Panvel,PNVL,Daily
99019,Thane - Panvel,PNVL,Mon-Sat
99021,Thane - Panvel,PNVL,Daily
99023,Thane - Panvel,PNVL,Daily
99025,Thane - Panvel,PNVL,Daily
99027,Thane - Panvel,PNVL,Daily
99029,Thane - Panvel,PNVL,Daily
99031,Thane - Panvel,PNVL,Daily
99033,Thane - Panvel,PNVL,Daily
99035,Thane - Panvel,PNVL,Daily
99037,Thane - Panvel,PNVL,Daily
99039,Thane - Panvel,PNVL,Daily
99041,Thane - Panvel,PNVL,Daily
99043,Thane - Panvel,PNVL,Daily
99045,Thane - Panvel,PNVL,Daily
99047,Thane - Panvel,PNVL,Daily
99049,Thane - Panvel,PNVL,Daily
99051,Thane - Panvel,PNVL,Daily
99053,Thane - Panvel,PNVL,Daily
99055,Thane - Panvel,PNVL,Daily
99057,Thane - Panvel,PNVL,Daily
99059,Thane - Panvel,PNVL,Daily
99061,Thane - Panvel,PNVL,Daily
99063,Thane - Panvel,PNVL,Daily
99065,Thane - Panvel,PNVL,Daily
99067,Thane - Panvel,PNVL,Daily
99069,Thane - Panvel,PNVL,Daily
99071,Thane - Panvel,PNVL,Daily
99073,Thane - Panvel,PNVL,Daily
99010,Panvel - Thane,TNA,Daily
99012,Panvel - Thane,TNA,Daily
99014,Panvel - Thane,TNA,Daily
99016,Panvel - Thane,TNA,Daily
99002,Panvel - Thane,TNA,Daily
99004,Panvel - Thane,TNA,Daily
99006,Panvel - Thane,TNA,Daily
99008,Panvel - Thane,TNA,Daily
99018,Panvel - Thane,TNA,Daily
99020,Panvel - Thane,TNA,Daily
99022,Panvel - Thane,TNA,Daily
99024,Panvel - Thane,TNA,Daily
99026,Panvel - Thane,TNA,Daily
99028,Panvel - Thane,TNA,Daily
99030,Panvel - Thane,TNA,Daily
99032,Panvel - Thane,TNA,Daily
99034,Panvel - Thane,TNA,Daily
99036,Panvel - Thane,TNA,Daily
99038,Panvel - Thane,TNA,Daily
99040,Panvel - Thane,TNA,Daily
99042,Panvel - Thane,TNA,Daily
99044,Panvel - Thane,TNA,Daily
99046,Panvel - Thane,TNA,Daily
99048,Panvel - Thane,TNA,Daily
99050,Panvel - Thane,TNA,Daily
99052,Panvel - Thane,TNA,Daily
99054,Panvel - Thane,TNA,Daily
99056,Panvel - Thane,TNA,Daily
99058,Panvel - Thane,TNA,Daily
99060,Panvel - Thane,TNA,Daily
99062,Panvel - Thane,TNA,Daily
99064,Panvel - Thane,TNA,Daily
99066,Panvel - Thane,TNA,Daily
99068,Panvel - Thane,TNA,Daily
99070,Panvel - Thane,TNA,Daily
99072,Panvel - Thane,TNA,Daily
99074,Panvel - Thane,TNA,Daily
99401,Thane - Vashi,VSH,Daily
99403,Thane - Vashi,VSH,Daily
99405,Thane - Vashi,VSH,Daily
